doc	file	year	venue	session_type	rel_path	window_chars
doc_open-forum_2021_46	igf-2021-%E2%80%93-day-3-%E2%80%93-of-13-christchurch-call-gifct-multi-stakeholder-efforts-for-cve.html	2021		open-forum	open-forum/2021/igf-2021-%E2%80%93-day-3-%E2%80%93-of-13-christchurch-call-gifct-multi-stakeholder-efforts-for-cve.html	4000
doc_open-forum_2022_47	igf-2022-day-1-open-forum-70-open-forum-shaping-digital-platforms-for-the-public-good.html	2022		open-forum	open-forum/2022/igf-2022-day-1-open-forum-70-open-forum-shaping-digital-platforms-for-the-public-good.html	4000
doc_open-forum_2023_48	igf-2023-%E2%80%93-day-2-%E2%80%93-dc-sustainability-data-access-transparency-a-trifecta-for-sustainable-0.html	2023		open-forum	open-forum/2023/igf-2023-%E2%80%93-day-2-%E2%80%93-dc-sustainability-data-access-transparency-a-trifecta-for-sustainable-0.html	4000
doc_open-forum_2025_49	igf-2025-day-1-conference-hall-open-forum-19-strengthening-information-integrity-on-climate.html	2025		open-forum	open-forum/2025/igf-2025-day-1-conference-hall-open-forum-19-strengthening-information-integrity-on-climate.html	4000
doc_other_2006_50	UN-IGF-AM-2-17-06.txt.html	2006		other	other/2006/UN-IGF-AM-2-17-06.txt.html	2264
doc_other_2009_51	IntGovForum.html	2009		other	other/2009/IntGovForum.html	3328
doc_other_2016_52	page_992833c7.html	2016		other	other/2016/page_992833c7.html	4000
doc_other_2017_53	igf-2017-day-1-room-xii-ws12-social-responsibilities-and-ethics-in-artificial-intelligence.html	2017		other	other/2017/igf-2017-day-1-room-xii-ws12-social-responsibilities-and-ethics-in-artificial-intelligence.html	4000
doc_other_2018_54	igf-2018-day-2-salle-i-human-rights-gender-and-youth.html	2018		other	other/2018/igf-2018-day-2-salle-i-human-rights-gender-and-youth.html	4000
doc_other_2019_55	igf-2019-%E2%80%93-day-2-%E2%80%93-convention-hall-ii-%E2%80%93-%E2%80%8Bapplying-human-rights-and-ethics-in-responsible.html	2019		other	other/2019/igf-2019-%E2%80%93-day-2-%E2%80%93-convention-hall-ii-%E2%80%93-%E2%80%8Bapplying-human-rights-and-ethics-in-responsible.html	4000
doc_other_2020_56	igf-2020-%E2%80%93-day-11-%E2%80%93-high-level-leaders-track-social-development.html	2020		other	other/2020/igf-2020-%E2%80%93-day-11-%E2%80%93-high-level-leaders-track-social-development.html	4000
doc_participants_2006_57	about.html	2006		participants	participants/2006/about.html	4000
doc_participants_2016_58	page_e95a5048.html	2016		participants	participants/2016/page_e95a5048.html	4000
doc_participants_2017_59	igf-2017-day-2-room-xvii-plenary-empowering-global-cooperation-on-cybersecurity-for.html	2017		participants	participants/2017/igf-2017-day-2-room-xvii-plenary-empowering-global-cooperation-on-cybersecurity-for.html	4000
doc_participants_2019_60	igf-2019-%E2%80%93-day-3-%E2%80%93-raum-iv-%E2%80%93-dc-on-public-access-in-libraries-dc-pal-0.html	2019		participants	participants/2019/igf-2019-%E2%80%93-day-3-%E2%80%93-raum-iv-%E2%80%93-dc-on-public-access-in-libraries-dc-pal-0.html	4000
doc_participants_2020_61	igf-2020-%E2%80%93-day-12-%E2%80%93-bpf-cybersecurity.html	2020		participants	participants/2020/igf-2020-%E2%80%93-day-12-%E2%80%93-bpf-cybersecurity.html	4000
doc_participants_2021_62	igf-2021-%E2%80%93-day-3-%E2%80%93-dc-sids-the-pandemic-internet-ensuring-sids-do-not-fall-behind.html	2021		participants	participants/2021/igf-2021-%E2%80%93-day-3-%E2%80%93-dc-sids-the-pandemic-internet-ensuring-sids-do-not-fall-behind.html	4000
doc_participants_2022_63	igf-2022-day-2-dc-environment-internet-the-environment-beyond-connectivity.html	2022		participants	participants/2022/igf-2022-day-2-dc-environment-internet-the-environment-beyond-connectivity.html	4000
doc_report_2007_64	rio_reports.html.html	2007		report	report/2007/rio_reports.html.html	2154
doc_report_2016_65	page_96e150ae.html	2016		report	report/2016/page_96e150ae.html	4000
doc_report_2017_66	igf-2017-day-4-room-xxiv-ws33-a-look-at-world-trends-in-freedom-of-expression-online.html	2017		report	report/2017/igf-2017-day-4-room-xxiv-ws33-a-look-at-world-trends-in-freedom-of-expression-online.html	4000
doc_report_2019_67	igf-2019-%E2%80%93-day-4-%E2%80%93-convention-hall-i-d-%E2%80%93-of-48-melani-reporting-and-analysis-centre-for.html	2019		report	report/2019/igf-2019-%E2%80%93-day-4-%E2%80%93-convention-hall-i-d-%E2%80%93-of-48-melani-reporting-and-analysis-centre-for.html	4000
doc_report_2022_68	igf-2022-day-2-dcpr-platform-responsibilities-in-times-of-conflict.html	2022		report	report/2022/igf-2022-day-2-dcpr-platform-responsibilities-in-times-of-conflict.html	4000
doc_report_2023_69	igf-2023-%E2%80%93-day-4-%E2%80%93-launch-award-event-147-report-south-south-cooperation-for-harnessing.html	2023		report	report/2023/igf-2023-%E2%80%93-day-4-%E2%80%93-launch-award-event-147-report-south-south-cooperation-for-harnessing.html	4000
doc_report_2025_70	igf-2025-day-4-workshop-room-1-launch-award-event-169-report-launch-quantum-encryption.html	2025		report	report/2025/igf-2025-day-4-workshop-room-1-launch-award-event-169-report-launch-quantum-encryption.html	4000
doc_schedule_2006_71	sg-letter-en.html.html	2006		schedule	schedule/2006/sg-letter-en.html.html	3503
doc_schedule_2009_72	WorkshopSchedule.html.html	2009		schedule	schedule/2009/WorkshopSchedule.html.html	4000
doc_schedule_2016_73	page_6c1fe545.html	2016		schedule	schedule/2016/page_6c1fe545.html	4000
doc_schedule_2017_74	igf-2017-day-2-room-xxvi-specialms-data-for-sustainable-development-road-maps.html	2017		schedule	schedule/2017/igf-2017-day-2-room-xxvi-specialms-data-for-sustainable-development-road-maps.html	4000
doc_schedule_2018_75	igf-2018-day-2-salle-iv-internet-jurisdiction-policy-network.html	2018		schedule	schedule/2018/igf-2018-day-2-salle-iv-internet-jurisdiction-policy-network.html	4000
doc_schedule_2019_76	igf-2019-%E2%80%93-day-4-%E2%80%93-estrel-saal-b-%E2%80%93-dc-on-small-island-developing-states-in-the-internet.html	2019		schedule	schedule/2019/igf-2019-%E2%80%93-day-4-%E2%80%93-estrel-saal-b-%E2%80%93-dc-on-small-island-developing-states-in-the-internet.html	4000
doc_schedule_2024_77	igf-2024-day-2-press-room-pt-session-7-building-parliamentary-capacity-to-effectively-0.html	2024		schedule	schedule/2024/igf-2024-day-2-press-room-pt-session-7-building-parliamentary-capacity-to-effectively-0.html	4000
doc_town-hall_2016_78	page_22f6360f.html	2016		town-hall	town-hall/2016/page_22f6360f.html	4000
doc_town-hall_2021_79	igf-2021-%E2%80%93-day-2-%E2%80%93-town-hall-37-digital-rights-self-regulation-and-the-oversight-board.html	2021		town-hall	town-hall/2021/igf-2021-%E2%80%93-day-2-%E2%80%93-town-hall-37-digital-rights-self-regulation-and-the-oversight-board.html	4000
doc_town-hall_2022_80	igf-2022-day-2-town-hall-92-ethics-and-regulation-of-emerging-technologies-ai-%E2%80%93-raw.html	2022		town-hall	town-hall/2022/igf-2022-day-2-town-hall-92-ethics-and-regulation-of-emerging-technologies-ai-%E2%80%93-raw.html	4000
doc_town-hall_2023_81	igf-2023-%E2%80%93-day-2-%E2%80%93-town-hall-80-how-submarine-cables-enhance-digital-collaboration.html	2023		town-hall	town-hall/2023/igf-2023-%E2%80%93-day-2-%E2%80%93-town-hall-80-how-submarine-cables-enhance-digital-collaboration.html	4000
doc_transcript_2006_82	questionnaire.htm.html	2006		transcript	transcript/2006/questionnaire.htm.html	4000
doc_transcript_2009_83	igf-initiatives.html	2009		transcript	transcript/2009/igf-initiatives.html	2152
doc_transcript_2010_84	2010-igf-vilnius.html	2010		transcript	transcript/2010/2010-igf-vilnius.html	2262
doc_transcript_2016_85	page_0cce5bdd.html	2016		transcript	transcript/2016/page_0cce5bdd.html	4000
doc_transcript_2017_86	igf-2017-day-1-room-xxi-multistakeholder-governance-of-the-domain-name-system-lessons.html	2017		transcript	transcript/2017/igf-2017-day-1-room-xxi-multistakeholder-governance-of-the-domain-name-system-lessons.html	4000
doc_transcript_2018_87	igf-2018-day-1-salle-ii-igfsa-general-assembly-side-session.html	2018		transcript	transcript/2018/igf-2018-day-1-salle-ii-igfsa-general-assembly-side-session.html	4000
doc_transcript_2021_88	igf-2021-%E2%80%93-day-1-%E2%80%93-dccos-regulate-or-prevent-to-protect-children-%E2%80%93-a-false-dichotomy.html	2021		transcript	transcript/2021/igf-2021-%E2%80%93-day-1-%E2%80%93-dccos-regulate-or-prevent-to-protect-children-%E2%80%93-a-false-dichotomy.html	4000
doc_workshop_2017_89	igf-2017-day-0-salle-18-second-meeting-of-all-schools-of-internet-governance-all-sig-0.html	2017		workshop	workshop/2017/igf-2017-day-0-salle-18-second-meeting-of-all-schools-of-internet-governance-all-sig-0.html	4000
doc_workshop_2018_90	igf-2018-day-1-salle-ii-ws366-proliferation-cyber-stability-and-state-responsibility.html	2018		workshop	workshop/2018/igf-2018-day-1-salle-ii-ws366-proliferation-cyber-stability-and-state-responsibility.html	4000
doc_workshop_2019_91	igf-2019-%E2%80%93-day-1-%E2%80%93-raum-ii-%E2%80%93-ws-288-solutions-for-law-enforcement-to-access-data-across.html	2019		workshop	workshop/2019/igf-2019-%E2%80%93-day-1-%E2%80%93-raum-ii-%E2%80%93-ws-288-solutions-for-law-enforcement-to-access-data-across.html	4000
doc_workshop_2020_92	igf-2020-%E2%80%93-day-10-%E2%80%93-ws130-election-in-times-of-disinformation.html	2020		workshop	workshop/2020/igf-2020-%E2%80%93-day-10-%E2%80%93-ws130-election-in-times-of-disinformation.html	4000
doc_workshop_2021_93	igf-2021-%E2%80%93-day-0-%E2%80%93-event-47-bringing-practical-tools-to-the-global-community-to-secure-0.html	2021		workshop	workshop/2021/igf-2021-%E2%80%93-day-0-%E2%80%93-event-47-bringing-practical-tools-to-the-global-community-to-secure-0.html	4000
doc_workshop_2022_94	igf-2022-day-1-ws-183-digital-wellbeing-of-youth-selfgenerated-sexualised-content.html	2022		workshop	workshop/2022/igf-2022-day-1-ws-183-digital-wellbeing-of-youth-selfgenerated-sexualised-content.html	4000
doc_workshop_2024_95	igf-2024-day-0-workshop-room-1-event-142-navigating-innovation-and-risk-in-the-digital.html	2024		workshop	workshop/2024/igf-2024-day-0-workshop-room-1-event-142-navigating-innovation-and-risk-in-the-digital.html	4000
doc_workshop_2025_96	igf-2025-day-0-workshop-room-1-event-252-editorial-media-and-big-tech-dependency-the.html	2025		workshop	workshop/2025/igf-2025-day-0-workshop-room-1-event-252-editorial-media-and-big-tech-dependency-the.html	4000
